"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
3,2,4,2,2,3.1168972485303,3,2.56464902017052,3,3,3.5,3.56540435283338,1,1.88061891496181
1.98200658434031,2.21180308037262,3,2.50267825422061,4,4,3.3162234805083,3,3,4,3.5,2,2,4.75477864779532
3,1,4,3.04312672849074,1.07235619076138,4,4,2,2,1.45662326783487,4.5,1.02663957867714,3,1.01378061342984
3,2,3.5,4,5,3.46801520671281,2.90136779549449,5.12265873981493,1.76568788632385,4,4,3,4,3.69357905909419
3.22086526379408,1.72890405960387,3,2.17244232207783,2.5,4,4.47838161666736,3.02822522311601,3,3,2.5,2,5,4.65319820679724
4,3.21965687527312,2.5,3,2.17161634400031,3.98466499093748,4,2,4.22284261486515,3.246198215355,4,4.5,6,2.25435956101865
3.5,2.11443547241114,2,3,3.97225356127605,4.23064323348824,4,3.29728687738959,3,4,3.5,3.17401848699764,7,1.64887498691678
3,3,2.5,4,2.62943061860076,4.02054194585829,2.16321937507652,2,2,3,3,2.54038070937617,8,3.8730645198375
2,2,3.5,3.01832348313049,2,4,2.12044619047316,3.00072698918586,1.3380141436814,2,5,1,9,3.57436479814351
3,4,3,3.8414229294122,3,2.78674880329569,3,4.0563093239265,4,3.37778172281536,4,2.97287286216683,10,2.26676002051681
3,4,3,2.89064960794162,3,4.42298584373154,4,4.59884016784586,4,4.00671129755226,3,5.08214365740738,11,1.80790188163519
3,1,2,1.47585535678257,3.16212409483689,3.12156426911298,2,1.52905690413637,2,3,2.33333333333333,2.84907828047223,12,2.63166166655719
3,2,4,2.8889447132664,3,3.97566339313891,3.66522246534629,3.18647096803327,2.9394608080761,4,3.5,2,13,4.67534845136106
2.56365320741102,1.92710308809275,2.5,3,3,4,4,3,2,3.41335264336727,3,2,14,4.02212548628449
3.71126171595229,3.72537387910595,2.5,2,5,4.0383292258013,4.00458101711629,2.00130537955019,4,5,4,4,15,1.5948224812746
3,2,3,2.82660892593815,4,3.70225246693351,2.67954213499348,1.49016354313012,1,2.5,3,1.93349907971235,16,2.83532937057316
4,3.05313016687466,2,2,3,5.05693975081674,5,4.53232614762277,5,4,4,5.17099777533684,17,4.91999044083059
4,2,3,1.48613636295254,3.6133630442808,4,4,2,2,2.67664934375101,3.5,2.45454943687296,18,1.80101942736655
3.23679520939955,3.17416716132325,2,2.5,3,3.19309723688324,4,3,5.26781707985584,2,4,3,19,3.17992295045406
4.81927991852578,2,3,2,4,4.03938012898826,3.68887031759962,2.89409544555085,3,2,3,2.35701445501926,20,2.08342100400478
4,3,3,2,2.81488779708417,4,4.71498481434792,3,1.94351151156661,4,3,3,21,2.0907623404637
4,3,4,4,2.60515057158006,4.01767362416769,2.85683076736809,3,3.27261417807769,2.45190476546431,4,3,22,2.50888989586383
2.94377991857143,2,3.5,2,3,2.73041995230698,2,3,4.82591934489762,4,4,1.94682920541961,23,1.39326000120491
3.40232447360884,3.26228145457075,4,3,4,3,2,4.68477489734457,2,2.66006271976587,4,2,24,2.83136028796434
3,2.54346799798939,4,3.5,5.40517003423424,4,3,2.41717915838609,2,4.60898773455007,4,3.46427510823457,25,3.90332172811031
4.22898079825703,1.17205333535024,4,4,1.50376287232301,2.9351881435399,3,2.5,2,4.03463136158467,4,2,26,4.84931133408099
3.21899964524518,2,4,3,4,4,4.59188501161504,3,4,4,3.5,2.37584032637477,27,3.5738047529012
2.81870259555445,1,4,2,2,1.72751702900073,4,2,2.29001116360454,2.05391198185463,4,2.59554405861014,28,4.3511401116848
3,2.69170582269765,3.33333333333333,3.71164169091836,3.50532412966961,4,4,4,2,3.66111499131978,4,2,29,1.54586774110794
4,2,4,3.22120086741118,3.12118923071207,2.54803467465015,3,2,-0.0364253680642497,2,4,2.26221528569096,30,1.40493119042367
3,2.37099179774366,5,4,2,4,4,3.44863712907713,4,4.69977720624162,5,2,31,2.75252575334162
4,4.25813471418256,4,3,3.88448898985079,4,4.44169050291678,3,3.26108871172544,4,4,2,32,1.36720670200884
3.11572853636652,3,4.5,4.99550584160129,2.5,4,4.18161828958884,2.63664906540447,1,4,4,2.60614911188724,33,1.83605196606368
3,2.78759245780055,3,2,3.28921313910091,4.25558371860442,4,3,3,4,4,2.47499286533515,34,3.98413442447782
3.3894011730449,3.66624863868293,2.5,4,4,5.12729549889603,4.05818628899578,4,4,3.5,4,4,35,3.62626057490706
4,2,3,4,4,4,3,3.12985340589674,4,3.16037835849166,4,3.67278989891164,36,1.75524818524718
4,2,3.5,4,4,4.49185788757467,4,2.7431387395277,1.97185209598508,2,4,2,37,3.64490411803126
3.5,2,3,4,2.71417485878159,2.19349877370975,4,4.20728024535084,1.49620562411201,2,4,1.9070854473819,38,2.48262778762728
4,2,3,2,3,4,4,3.61465107252587,1.6511994718513,4.33205364149649,3,2,39,1.46323587279767
1.44328425769907,2,3,3,4,3.81352674793476,4,3,4.13627489990085,4.16700344177231,4,2,40,1.18661392014474
4,4,4,2,3.14827415725205,3.99242895148476,4,3,3,3.50886380601708,3,2.80449260359908,41,4.29986396525055
4,2,4,2,2.99222404199999,4,3.49323312696252,3,3,4,3,0.970562024875163,42,4.0998860206455
