"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
2.8391436545836,4,2,2.8437695023597,3,4,3.35830991136918,2,4,4,2.66666666666667,0.170222730556238,1,2.66249337513
5,4,3,3.55147020689302,4,5,3.34681944209383,3.01424179511023,3,1,5,0.869730335583183,2,1.20218969229609
3.6937171033198,2,3,2.79255808478713,2,2.39461714723425,2,2,4,2.79347084205302,3.5,2.56114179134578,3,4.22538290172815
3.08157378218805,2,3,3,3.9916438288704,4.38703992232648,2,2,4,2,4,1.6395741074773,4,1.12317172251642
5,2.92027584154388,2,2.16883143893969,3.35270880066959,5.19205285708206,3.7241908238527,4,4,4,2,3.63742528227666,5,4.28791629243642
4.5,4,3,4,2.61234987604897,4,1,2.88006496743633,4.07415373902857,2.59634294927514,4,5,6,4.85406423453242
4,1.98781789889411,3,3.5,3,2.62321000097975,2,3.48273500912927,3,2,4,2.2747455945348,7,2.23185572493821
4.22332962705926,3.11418879806821,3,4,2.89868953182778,4.27462738741111,1,2.5,2,1,4,5,8,3.14978385530412
4,3.13107346810207,3,2.14072421465748,4,1.82981854749754,1.68020682231002,2.780463235928,1.5,3,4,3.02517327085378,9,1.08575165178627
3.81084282307618,2,3,2.82645563211745,2.69429435437269,1.5,2.32839021985096,3,4,1.70597567686292,3.5,2.21718736795144,10,3.82110787276179
3,4,5,2.91950581618173,4.28966767355908,4,2,2.87624201237353,3.76868413316415,2.83980838649497,3.33333333333333,4,11,3.10701730940491
5,3.86443515078187,2,2,4,3,2.45216809649595,2.53675618933698,5,3.74559351992377,4,4.86913616293816,12,2.1387976584956
2,4.01429448190572,2,2,2.35178422528768,4.40443006685785,3,4,4,3.20894497968892,3.5,3.78407664720581,13,1.93687490560114
3.5,4,2,4,3.13085736743422,4,4,4.7208882246183,5.14365379161964,4.214283273057,2,4,14,2.01639340352267
2.24989552285761,4,2,2.11517264848281,4.87824465186802,5,5.01469518530129,3,5,5,3,3.32841227355445,15,4.93461898900568
1,3.06056701772874,2,2.45274990226125,3.90579074021214,2.5,2.7701179420876,4,5,3.79719872473149,4,4,16,3.8984083365649
5,2.36929871098323,3,1.65890973779022,3.13755934490375,4,2,4,4,3.77573550459707,2,4,17,1.79328931774944
5,3.68861000168912,4,4,4,2.76695310726188,4.33267581301583,2.84619873421457,4,4,2,4,18,3.96947175357491
1.86657973752145,4,4,4,3.56916169234821,4,2,4,3.39943151949394,3.05530567575891,4,3.0833954978616,19,1.4110417291522
5,3.73556063182372,1.5,4.54905144494981,4,3.75923719792085,2.5,4.58515970574695,5,1.49557437478988,4,4,20,4.65189050976187
4,4,2,3.49724008289991,2.87243173017726,4,3.18924885219075,4,2,3.95974086037687,4,3.57812526150545,21,4.32670864183456
3.84692178294088,3.37856916315745,4,5,2.19197674461966,1,1.39812293463537,2,3,2,4,1.08509826925206,22,3.64987212605774
4.08529559567755,4,3,2,4,3.38177846345859,3.588288662658,4.41762733324891,4,2,4,4.26290570268096,23,2.76837726682425
4,2,4,4,4,4,4,4.880183952429,4,3.42576587659597,4,3.98956952268045,24,4.48912582732737
4,4.01513031024651,2,2,2.74244521806482,4.56093725600239,2,3.72067231447729,3.98278330819066,1,3.5,4,25,1.8225905681029
2,4,2,1.92683803071621,3.86875673674374,3.7144209803853,4,3,2.80480819104157,4,2.66666666666667,3,26,3.62159920204431
4,3.65614910796729,2,3.05617153429233,1.55475081464826,2,4,2.91717271604203,4,4.21386590545722,3,4,27,3.47975262068212
4,2,4,4,3.82343307446735,4,4.46314057538591,4,4,2,4,3.39660866989668,28,1.04250536113977
4,4,3,4,4,4.37190729415839,3,3.59557285946774,4,3,3,1.36929388160212,29,1.84549476485699
4,1.78248552267206,3,3,4,3,2,2.96753083750007,2.49102163067927,0.684819597137048,4,3,30,4.5354266744107
2,2.48726361924498,3.5,3.01721712157259,4,4,3,4.96420973849835,3,3.05468110654132,3,2.4030137772681,31,1.0821489430964
4,4,4,4,2.71627713039417,1.65542771485934,4,4,4,2,4,3.92707688350763,32,4.82954312767833
4,4,2,3.5,2.77520741050511,2,4.17211468081623,1.60056523656239,4,4,2,3.96498470229315,33,3.14880798943341
3,3,3,3,3.76989312052422,1.94919863747176,5,2.94603316950047,3,2,3,1.76845940265909,34,1.64759143721312
2.94010504102022,1.2888519150366,4,3,2.5,4.68880227095603,2.36090390582856,2.07965599531558,2,2,4,2,35,4.40733860433102
4,2.53695442768533,2,2,5,3.37850527633213,4.25356068345416,4.23858028114538,2,3,3,4,36,2.18216220196337
3,1.71786279676635,3,3,3.56412873607614,3.34398358635993,3,3,4,3,3,1,37,1.47119298763573
3.27319059151521,3,3,2,4,1,4,2.91190853906865,1.84517721106345,2.05402016488208,2,2.48840472401753,38,3.5732300132513
2,2,4,4,4.26001331419022,2,2,2,3.19383555743452,4.57755861566499,4,3,39,4.86849603801966
4.3317815544432,2.87844943163055,4,3,2.84280245968659,3,2.717609041142,4,4,3,4,3,40,2.81976323667914
2.5,4.55084732206706,2.5,4,3.28286073509415,2,2.96525778976654,2.07205964229012,2.93366434012681,4,5,2.5,41,3.67115483433008
4,4,3,2,2.30667759956419,4,2.88190201041293,4,2,2,4,0.715240024867774,42,4.3370014000684
4,2,3,3,3,2.22643434801946,3,2.03077486651443,-0.111946175684948,4,4,1,43,2.50925442576408
3.42443074098444,4,2,2,3,2,4,4.19400005229252,4,3.77199111103403,2,3.20877270519714,44,3.13819289300591
3.44702981731378,2,3,2.48407294146884,4,2,4.15782806737681,5,2,2,3.5,2.35925354531901,45,4.22407442424446
3,2.5922652644967,3,3,3.9067034431895,3.37138805350848,3,3.45876563461082,3,2,3,1.50479189748014,46,3.46208857093006
2,3,2,3.77230245348523,2.78589751744636,2.64875750455593,1.34137549505942,2.03881311903272,4,2,4,3.55712843765291,47,3.10953329037875
