"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
3,2,2.33333333333333,3.58572352998207,3.84267856489291,3.82242978737218,3,3,2,4,2,0.97229517189936,1,2.81352907605469
2.80655197912471,4,3,2,3,2.3925857994145,3,3.06882291208346,3,2,3,3.97497430235645,2,4.55333824921399
3.02542836867744,3,2.5,2,2,2,3,4,3,2.74833852159237,3,3.14729480440377,3,2.73568411357701
1.12383482818158,3,2,3,5,3.99221297403421,4,5,4,5,1,3.39951461937913,4,4.02186029870063
3,2.77828611588088,2.5,1.2907310724252,3,4,4.4584366811851,3.86082307824619,4,4,2.5,4,5,4.72907040361315
3,4.63671633579971,3,3,3.50669390187544,3.61775344976689,1.73360097094816,3,3,2.5,3,5,6,3.65627627447248
2.88476242938738,4,3,2,4,5,3.99870135126683,3.00881753617217,2.72502265034492,4,3,4,7,4.58232382964343
2.15307805387947,3,4,3,4,3.62537827779188,3,4,2,4,4,2.50845833498232,8,3.20442819129676
3,3,3,1.57069733054645,3,2.88989372276833,3,3.18839392254408,2,2.05074472003024,3,2.81721396676543,9,3.44249704666436
4,3.72762171280843,1,2,4,3,4,3.43647228635516,3,4.53388182185047,2,6.23485652090503,10,3.00352635979652
5,4,1,2,4.04410157144797,3.76797259520007,4,4,4.09546505511993,5,1,3,11,3.10752742923796
3.30953718169293,4.40008347076362,3,2,3,3,3,3.08724916676532,3.1219957983999,3.67117723305673,3,2,12,1.8897050106898
2.81147867185866,3.8497310585267,2,2,3,4,5,5,3.5,4.03805528257272,1,4.56083661053237,13,4.1704523647204
3.12049867173649,3,2,1.84790995196515,4,4,4,3,3,3.9824410458991,2.33333333333333,1.07649876583243,14,3.8270863359794
3,3,1.5,3,5.01529766601395,2.83576034885425,5.97735834289634,3,3.062006694057,2.5,1,5,15,3.51302233710885
3,3,1,3,3,5,4.46146546828615,1.88788771682486,4.15494569840355,5,2,2.28910294416882,16,2.83471856079996
2.80302994434684,2.80733474902545,2.5,3,3,2,3,2.97031416736508,3.09023429035774,2.47670807341477,3,3,17,4.81687235832214
3,3,2.5,2,2.56937591819334,3,3.18141167155576,2.53927823040229,3.2422222134163,3,2,2,18,3.29837157391012
4,3.5,2,2,5,3.81673613651985,4,3.70442509313109,5.25545141531621,3,3,2.91363573067664,19,2.93051904905587
2.564032898098,3,2,2,3,4,3.90104456661115,3.09387519904739,3.92858198281095,4.25390130857349,3,3,20,1.27815692126751
4.099438128854,2.76357071488776,1.5,2,3,2.71328549536202,2.5,2,3,2.2995431466452,2,4,21,3.63103872630745
2.83777417839599,3,2,2,4,3.3630007190761,2.99338781819814,4,4.71400456036229,3,2,2.2473555588616,22,3.21554663963616
3.22969825898389,2.97548518114854,2,2.5,3,3,4,3,2.5,4.08427556752538,2,3.58171472268266,23,4.34922654181719
3,3.62771458464633,3,3,3,4,4,4.23714868261834,2,3.31357341435834,3,3,24,1.41819705441594
4,5.03028971570543,1.5,2,3,3.57624171491303,4,3.64737050147601,4,4,2,4,25,4.72222694102675
4,2,2,2,2.57839342227098,4,4,4,2,3.15608501230869,1,2.10906800461579,26,2.74213591683656
4,4,2,2,3.67827338109353,4,2.9376729052313,4,6.81566684236562,3,2.5,4,27,3.67672160081565
2,4,1,1.90606403133473,4,3.74960235281155,4.47052159342038,3.86548764434829,4,4,1.66666666666667,4.31168291564328,28,3.43264259584248
4.5,1.08658169690236,1,1.5,5.4164825318152,4,5,3.51855156614224,3,3.74782680432606,4,4,29,1.67347556818277
1.66941790055304,3,1,2,4,3,5,3.94970370444385,4,5.9869225073613,2,3.62995552323579,30,2.2191751729697
3,5,1,2,5,4.5061481788701,5,4.57901961293756,4.36284385007069,5,1.5,3.14022565024707,31,1.75374838989228
3.1766820503585,3,2,3,4,3.31206493413821,3.65175174818249,3,3,4,1,3.12038183227226,32,3.83637273311615
3.31658012586756,4.33740407841887,1.5,1,3,4,4,3,3.5,5.00164668558556,2,3.0446485171077,33,2.61324154399335
2.65936753820561,4.31604221578364,1,2,4,3.79125491548017,4,4,4,3,1,2.65084599525532,34,4.88736311718822
2.14540939725173,4.23062186830301,1,3.20021331361688,3.87702783591584,4,4,3.5,4,5.43006197956717,1.5,2.44590245897564,35,4.8665514132008
4,1.77627515562266,2,2,4,3,2.88563619690121,3.68757809513718,3,3.57399532936389,2,3,36,3.49208448827267
