"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
3,2.5,1,2.17007379255284,5.11781841779762,5,3.09381170100084,4,3.49778144343558,2.68024025743752,1.66666666666667,1.73945099807967,1,2.4537242250517
5.59770305741871,5,1.5,2,4,3.19445052632554,5,5.41708790005172,5,5,1,3.7425623764335,2,3.28491111751646
4,3.74078684168869,1,1,2,5,3.34230012995074,3.32906846358023,4,3,1,5,3,3.4665176263079
2.5,1,2,3,2.86876374335534,5,5.18065627130802,3.12856637644712,3.47327140620978,5,3.5,1,4,3.76786714047194
2.5,3,1,1.5,3.62951223288075,3,5,2.98322481813157,3,2.21827145626023,3,3.72119260077839,5,4.21702681388706
3.66942461511329,1,1,4,2,3.52775125452127,5,2,4.22975610845467,1,1,2,6,3.96477939095348
3.40118941776696,1,2,1,2,4.16427511678505,4.5,4,2.66510060142198,3.55467256827399,1,1,7,1.19933046679944
3,1,1.5,1,4,4,5,2.94757915170163,3.04007642563348,3.91827674565642,4,1,8,3.27976666670293
2.5,3,2.33333333333333,2.50129089524052,2.65824444976761,5,4,2.86416592064785,2,3.27093494473759,3,1.48765275180326,9,1.28936111740768
2.90695124493534,3.67279497785352,1,1,4.68524540003894,4.38138249991807,5,3,3,4,1,3.03697279581739,10,1.22335652448237
1.83747046328984,2.5,1,1.58152823405471,2,4,4,2,3.72548846127711,3.09033470184847,2.33333333333333,3.25550950271248,11,3.18488033302128
3,3,1.5,2,4.74621938067589,3.47744768808938,2,2.68421852651491,1,1,2,2.64143433161157,12,1.24244073219597
3,1,2,2,1,4,4.4234972405478,3.55059145809174,4.81618958667735,2,1,3,13,3.02002687659115
3,4,1,1,3.4104791958347,5,5,2,4,4.47824155313425,1,3.4062019284147,14,1.60839747730643
2,4.31321293663879,1,1,3.3413553957021,4.13166715495725,5,4,5,4,1,5,15,1.07965092360973
5,3.99918479912783,1,2.69375713542785,5,3.93082143851898,4.29219464998991,4.755729182836,5,5,1,5,16,1.42570269200951
2,5,1,1,4.01196054504224,5.05469525487752,5,5,4,5,1,5.24229053180414,17,3.51938532292843
1,2,1,4,4,2,4.52192439723018,3.6421949630508,3.32160494792878,2.73216125172838,1.5,5,18,2.87710421718657
4,2.97595270204154,1.5,1,1.82653678277741,5,5,3.30711214239877,3,3.02113186362731,1,3.09640400872308,19,4.74878111574799
2.02575229860969,3,1.5,5,3,4,4,2.58608825222619,2.59002119532641,4.15849074529404,1,4,20,3.02962188795209
1.89571749333271,2,1,1,3,4,2.91775675659704,2,3.48059077583347,2,1,5,21,1.05968604236841
2.10075308142521,1.96149232207342,1,1.5,2.5,3.43880065888638,2.98418750840986,3.46817457032066,3.5,2.5,1,1.57737644772974,22,1.52765989024192
