"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
2.02376709408261,3.0492940656319,2.5,3,4.21690771054739,5,3.63568354623645,4.02318549590969,3.5,6.31732779494827,4,2.28550934692815,1,3.23097282648087
4,4,2.5,0.798871085742956,3.07375933162102,5,5,4,2.57485623460651,2.90806782962459,2,4,2,2.97214172407985
2,3,2.5,2.5757887193284,4,2.91216645645751,2.82701090399647,4.30105169843449,3.08658662191222,4.5,3.5,2,3,3.8832037197426
3,3.2847444945802,2.66666666666667,3.88516089647991,1.36628988262385,5,2.75852270918448,3.7630437712305,4,2,3,4,4,2.20651336014271
3.46234953787235,4.7221883407281,2,2,4,2.83814180114421,4,3.19025217128542,4,4,3,4,5,2.40188677236438
4,2,2,2,4,5,3.71726739846476,2.80447183205589,3,4,2,1.56697655088232,6,4.60380872711539
1.99360251490716,3.95304257195451,2,2,4,3.71112351888123,4.94066865197128,4.1910477251716,3,4,2,2,7,4.51201836485416
4,2,3.5,2.45361226208329,4.34080923530239,1.85455540621167,3.5,2,2.986035066521,2.24182987381077,4,4,8,2.42587508633733
2.92462897783197,5.90989861249901,2,3,4.00910265463787,3.48469084968119,2.23182010244109,3.98790028000241,4,4,2,4,9,3.40898233372718
4,4,3,3,3.46873369211655,2.90942476401422,3.5,4.01509204691951,4,3.74262652936934,2.5,2.68003421700436,10,2.24671192653477
2.97866430954927,4,3,2,4.70699494650353,4.03208109830008,4,3.21390224696199,2.2749790697574,4.81146692588651,3.5,3,11,4.84500200487673
4,2,2,2,3,3.15844837034551,4,2.75448285277711,3,3,3,3.47398244170674,12,1.29727718885988
4,4.14712689593968,3,3,4,4.5,4.51999005517867,3.51054868279309,4,1.37288748738576,3,4,13,4.82398003246635
0.924371573256001,5.18618592156724,2,1.50448307466642,3.63232523073313,4.07998436652632,4,4,4,4,2,4,14,2.22104716300964
2.02869677893863,4.97932838871942,2,2.40903031677365,3.84663379646863,3.38656696519716,3.5,4,2.91305217858306,3.22404570179918,2,3.5,15,3.75271210260689
3.73512920333497,4.15962747843465,2,2,3,5,3.67431986573098,3,4,3,2,4,16,1.4212334221229
2.69980026032962,3,2,1.40364143976188,5.61678686346251,5,4,3,4,3.45125846562551,2,3.64907717913456,17,4.4368564421311
3.40027482681947,2.87852986143757,4,3,3.16862804714145,3.79424559585678,4,3,3.5,4,2,4.3854996969233,18,1.44677604641765
4,2.55487864548877,4,4,2.6125548614207,5,2.12793084389406,4,3,4,4,4,19,4.07155039906502
1.97189150629343,5.19855922422153,2.5,2.81954399514429,4,4,2,3.49977503890929,4.08759783102392,4.28924854178687,2.5,3,20,1.20095550362021
2.05072347100963,2.82069574943075,3,4,3.98608618516654,3.21853713246887,4,3,2,3,4,3,21,4.25395955424756
4,4,3,4,3.13247415797378,3.71436269520852,4,3,3.75374236584035,4,4,2.96647344240213,22,2.06272002588958
3.98506295621389,3.08075347864076,4,4.5,4.04964262593315,5,3.12449616110052,3.03412499386251,3,5,3,3,23,2.65277145802975
2.00257808388419,2.42936099370334,4,4,3.46531569621318,4,2.04386973298221,4,3.5,2.00916675314543,4,2.26974600276183,24,4.05697620008141
4,3,2.5,2.45158040946929,3.19016293494508,5,5,4.00708108268831,3,6.34546712633025,3.5,2.83837893660452,25,2.94474884402007
