"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
3.26302734871095,4,2,2.08587708158912,4.5,3,5.07617063764561,3.37247729981359,3.47693379543429,2,1.33333333333333,4.92173563124361,1,3.16365249734372
4,5,1,1.89119221713109,4,3.18139008265245,4.49992554960242,4.55040695304558,5,3.50478102020789,1,4.97473061482499,2,2.62933738902211
3,5,1,2.69978258995476,2,5,3.33850153129064,3.32502624773305,4,5,1.5,3.72902640111798,3,2.82715853024274
3.76209587610091,3.30249819378642,1,1,1,5,5.37188141915794,3,1.5,5,1.5,2.19432289902231,4,2.49962566699833
3,4.59553112604926,1.5,1,3,5,4.99861408584273,3.24189237274659,4,3.50868995702139,1,5,5,3.74368317611516
1,5,1.33333333333333,2.6501162845817,5,5,5,4.88952622911147,5.29259314305026,3.50648332240115,1,5,6,4.81807264965028
4.12214366303395,3,3,1,1.57854420980709,5,6.12418721079642,3,4,5,2,4.92236905145799,7,1.04622334707528
1.5,3.03899754943466,1,1,4.19383461174347,4.06432662304702,3,4.2776982686731,2,1,1.5,2.96357305222798,8,4.75414565205574
2.66596598183452,3,1,1.5,3,5,5,5,4,5.4026183426042,1,3.8022218615483,9,3.68243101984262
2,5.18407460237308,1,1,3,5,3.80663332113241,4.68767789742,4.87586991674827,5,1,4.5,10,4.54285620898008
3,4,1,1,4.30725719941458,4.97509491493942,1.55346017924268,3,2.78933970912454,1.5,2,4.10126386363264,11,2.65474010165781
2,2.61388219496275,1,1,3.92560116003985,5,5,3.69742503088959,4,4.07322901222177,1.5,4.61562370944448,12,4.24594340939075
3,3,1,2.60124996236164,3.383393851992,4.04846461342867,4.77363586241677,3,3.48523044897678,5,2,3,13,1.22378993406892
3,3.26466107054598,1.66666666666667,2.14396134940321,3.66789207652404,3.4649380748049,5.00062638104413,3,2,5,1,4,14,1.96116837859154
3,4.34379344189998,1,1.08033633865179,4,5.05401079664078,5,4.97514274259917,4,3.9261248635198,2.33333333333333,5,15,3.5740088429302
3,3,1,1,2.24103840615134,4.24812724493469,1,4.43367527392061,3.53714327843797,4,1,5,16,1.06234783492982
4,3.89992969305569,1,1,4.67441113912656,5,1,4,4,2.76900733238162,2,4.04036073301477,17,1.47429292555898
4,5,1,1.01953267710356,3,4,4,3.76633978660641,3,4.54818008443456,1,5.46295842368973,18,1.04138598125428
3,2.5,1,1,4,5.24166851917419,4.26885675931164,3.06730195072954,3.39904530593206,4,2,3.81372276428995,19,3.7910593720153
3,3,2,1.41986222431055,5,4,2.23973450728686,3.46788447345239,4.33957823697539,3.02447617173826,3.5,4.26040048904086,20,1.45465272292495
2.5,1,1.5,3,4.40610072509854,4.05607058400071,5.00125340187005,3.16960725838986,3,4,3,4.06876990030672,21,3.2008911287412
2.82642708349417,4.30974994040356,1.5,1,3,4,3.66051828918613,3,3,5,1,5,22,3.31266907788813
2.95358968101265,4.5,1.5,1.44268356414172,3.79961632286704,5,5,3.5,5.05493034193691,2.7913731051324,1.5,3.0720720252885,23,4.16379965282977
3,3.60435541786187,1,2.7376215125311,4,5.33158944423627,5,5.86552622061954,4,2,3.5,5,24,4.49725639540702
3.37257817254172,4,1.5,1.51371084710829,4,4,2.92957265976094,1,2.23316666062868,2.9731653770384,2,5,25,1.72339225094765
4.0439748477003,3,1,1,3,5,4,5,2.52709478087267,3.18756347486033,2,4,26,3.01609545201063
4.01410167118898,4.4086307514861,1,1,5,3.98970025217559,3.36631049983184,4.49481680427927,4,3,2,5,27,2.53571714553982
2,4,1.5,2.59968857664381,4.34667973806155,5,4.37776806238901,5,5.11204519369692,2,1,5,28,1.90531145501882
4,3.5,1.5,2.37091679952614,3,5,4.50084063378427,2.81788335899901,4.3248205401815,4.68692244938639,1,4.71901240519526,29,1.40492923464626
