"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
3.61894649415586,2.62222163250662,2,1.65783685173433,4,3.62382828828966,2,2,4,3,2,2.98040059327087,1,2.6996131548658
3.56933541072955,2.94185106324163,2,3,2.13097470907852,4,3,2.49581155766138,2,4.12443531264773,4.5,4.50343291205274,2,4.83400566503406
2.89935256296624,4,2,1,5,5,5.46077595697496,4,2.76977004100149,4,2.5,3,3,1.21695967298001
3,3,3,2,4.14526926539878,1.54905757759773,4,1.99835657986558,2,2,3,2.18290975606584,4,2.01580597367138
4,4,2,2,2.74816251105158,5,4.02108178841319,3.30185061509862,2.71498622078359,4,4.5,2,5,4.15607012715191
2.26333391693436,3.32039343818946,1.5,2,4,3.48697591287593,3,4,3,2,4,4,6,1.94780111964792
5,4.10163165027757,2,2,4.59834521958407,4,4,3.9191720580552,2,3.14693930177583,3,3.66025350014526,7,1.74150250758976
5,2,2,2,4.82549507120004,4.16886985963128,4,2.02823335371935,2.5616419383811,4,2.5,3.68559114976387,8,3.23779024556279
5,3.68559596179802,2,2,4,5,4.47142508240438,5.70578964741326,3.17987436158268,4,4,3,9,3.24075064714998
3.71825882712448,2.41388043302714,1.5,2,5,4.30264971533086,4.60163815813069,4,3,4,4,3.63686536980024,10,2.10806093178689
4.37130944694097,4,1,2,4,2,4.56029932919794,2,3,4,2,2.80741797592223,11,4.65983781032264
1.9803848345108,2.75047244461447,5,5,2.5,4.5,2.91146321070766,2.9364287913801,1,2.60741271279575,5,1,12,1.3274349141866
5,4,3,2,3.13976392000137,4.53027380405798,4,2.00134134291778,1,2,2,2.46327256890246,13,3.35806617699564
3,2,2.7305885149562,4,2,2.17191885795222,4,3.73781055380485,2,4,4.5,2.37254126216123,14,1.19587706774473
2.69438897340816,3,2,2,2.5,4.08145011833705,2,2.83241912449017,4.21251883980619,3.75532976076884,3.5,4,15,4.74933304730803
1.56556031524336,2.77466537044769,1.5,1.19291964862648,3.9587287229203,4,3.19028675995882,2.5,2,3.95132566409546,2.5,2,16,2.12482959218323
3.01478761155222,3,1.5,2,3,3,3,3,3.58856760010978,4.65642118559683,4,4.01737721680276,17,1.61879542004317
3,2.28783642673786,2,2,2.49607793189323,3,3.14333080775189,2,4.32565670075586,2,3,4,18,4.60334098991007
3.89604176690225,3,2.5,3,4,2,3.33438987247501,2,1,2,4,2.74643197197969,19,4.8455309169367
2,3.53354762603614,2.5,1.51395702851636,3.40145045595068,4,4.32443411737617,3,2,4,3.5,5,20,4.46833739522845
1.0526436717947,1.69387464429141,4,2.26050503947448,3,3,3,1.46767078046344,1,3.08678557757802,5,1,21,1.03658594377339
3,3,2,1.51793335532839,4,4,5,3.36485213563964,1.94693491128806,2.83093657512067,4,2,22,1.99092542845756
4,4,3,4,3.77975438363553,4.21591419374622,3,3.30593274469195,2,2,5,1.56686819766241,23,2.20313873328269
2,3,4,3.03326100513436,5,2.38573998026095,2,2.21917301043427,1.64820645998771,1,4,3,24,3.02943966351449
3,3.39519391684704,2,2,4,4,4,4.14016737435103,4,4.03708845828837,3.5,3,25,1.49464575946331
3,3.2580635066526,2,2,3,5,3,1.81794693724679,2.91044225531403,2.93698405062926,5,3.5,26,2.22018361836672
2.7563161877338,2.97423490488095,4,4.38693162980673,2.5,3.27895698422459,3,2.54671357820249,4,4,5,2,27,2.08632663823664
4.38877075176246,3,2.5,2,3,4,4.0073170662839,4.02047311764758,3.21974641963168,4,3,3,28,1.83365139737725
